title,price,location,url
"WANTED $$$ AURORA H, O, DETROIT AFX SLOT CARS WANTED paying top dollar",0,linden,https://newyork.craigslist.org/lgi/wan/d/linden-wanted-aurora-o-detroit-afx-slot/7814036574.html
"Lamborghini Diablo ""Hot Cars"" Collector Brochure",$5,Brooklyn,https://newyork.craigslist.org/brk/clt/d/brooklyn-lamborghini-diablo-hot-cars/7814502348.html
Hot Wheels electronic 6-lane racing track (and cars),$55,Bronxville/Mount Vernon,https://newyork.craigslist.org/wch/bab/d/mount-vernon-hot-wheels-electronic-lane/7814701205.html
1988 REPRINT MOTOR CARS 1923 CIGARETTE CARDS LAMBERT & BUTLER FRAMED,$99,Floral Park,https://newyork.craigslist.org/lgi/fuo/d/floral-park-1988-reprint-motor-cars/7811119023.html
Accident Cars Bought Daily,$500,Bklyn,https://newyork.craigslist.org/brk/wto/d/bronx-accident-cars-bought-daily/7815761612.html
"There are some electronic items and other items, such as cars, that I would like",$0,Point Lookout,https://newyork.craigslist.org/lgi/app/d/point-lookout-there-are-some-electronic/7815682266.html
James Bond cars,$30,Port Washington,https://newyork.craigslist.org/lgi/tag/d/port-washington-james-bond-cars/7811355343.html
Franklin mint die cast cars,$225,Port Washington,https://newyork.craigslist.org/lgi/clt/d/port-washington-franklin-mint-die-cast/7808552933.html
"Wanted:  Classic Foreign Cars, Mercedes, Porsche, BMW, Lancia, Jaguar",0,Yorktown,https://newyork.craigslist.org/wch/wan/d/yorktown-heights-wanted-classic-foreign/7808694037.html
Disney Arts and Craft Activity Set by Disney Cars with 130 pieces,$20,nassau county,https://newyork.craigslist.org/lgi/art/d/lynbrook-disney-arts-and-craft-activity/7815557569.html
(5) North Pole Express Christmas Train Replacement Cars,$0,long island,https://newyork.craigslist.org/lgi/for/d/east-islip-north-pole-express-christmas/7815554131.html
SCX SCALEXTRIC 88750 ANALOG PIT BOX TRACK FOR 1/32 Scale SLOT CARS,$99,Brooklyn NY,https://newyork.craigslist.org/brk/ele/d/brooklyn-scx-scalextric-analog-pit-box/7808032997.html
Die Cast 1/18 Scale Cars,$20,Bronx,https://newyork.craigslist.org/brx/tag/d/bronx-die-cast-18-scale-cars/7815528893.html
Battery charger RC cars,$20,E. Northport,https://newyork.craigslist.org/lgi/ele/d/east-northport-battery-charger-rc-cars/7815525041.html
"Pontiac Trans Am ""Hot Cars"" Collector Brochure",$5,Brooklyn,https://newyork.craigslist.org/brk/clt/d/brooklyn-pontiac-trans-am-hot-cars/7814017592.html
"Corvette Sting Ray ""Hot Cars"" Collector Brochure",$5,Brooklyn,https://newyork.craigslist.org/brk/clt/d/brooklyn-corvette-sting-ray-hot-cars/7814017558.html
"1953 Cadillac Eldorado ""Hot Cars"" Collector Brochure",$5,Brooklyn,https://newyork.craigslist.org/brk/clt/d/brooklyn-1953-cadillac-eldorado-hot/7814017529.html
1999 mobile 1. 25th anniversary special edition 3 cars (Have 20 available.),$10,Staten Island,https://newyork.craigslist.org/stn/tag/d/staten-island-1999-mobile-25th/7807807748.html
Temporary Plate,$0,brooklyn,https://newyork.craigslist.org/brk/pts/d/brooklyn-temporary-plate/7808621857.html
PISTON KEY CHAIN OR EAGLE HOOD ORNAMENT FOR CARS,$5,bayside/queens,https://newyork.craigslist.org/que/pts/d/oakland-gardens-piston-key-chain-or/7808407115.html
WE BUY JUNK CARS  FOR CASH.718-218-9244 - $1 (Brooklyn),$0,BROOKLYN,https://newyork.craigslist.org/brk/ptd/d/brooklyn-we-buy-junk-cars-for-cash/7815482728.html
"HUGE LOTS OF 30 TOY TRUCKS, CARS, MOTORCYCLES, TRAILERS, BOY, PLAY",$45,"Wilton, CT",https://newyork.craigslist.org/fct/tag/d/wilton-huge-lots-of-30-toy-trucks-cars/7812732222.html
"Good Year tire inflator for motorcycle, cars, bicycle and inflatables",$25,Rego Park,https://newyork.craigslist.org/que/wto/d/rego-park-good-year-tire-inflator-for/7815442463.html
Parts for RC Cars,$100,Wilton,https://newyork.craigslist.org/fct/tag/d/wilton-parts-for-rc-cars/7815373845.html
2006 Mercedes E350 4matic wagon 100 plus cheap cars in stock,"$3,650",Large selection of cars at wholesale prices motorhubnj.com,https://newyork.craigslist.org/brk/ctd/d/burlington-2006-mercedes-e350-4matic/7815303338.html
State inspection for ny cars,$140,Queens jfk Brooklyn Nassau valley stream,https://newyork.craigslist.org/que/wto/d/state-inspection-for-ny-cars/7815222455.html
"Children's Books About Cars, Boats and Trains",$1,Bellmore,https://newyork.craigslist.org/lgi/bks/d/bellmore-childrens-books-about-cars/7810837790.html
Junk Cars Wanted,0,New Hyde Park,https://newyork.craigslist.org/lgi/wan/d/new-hyde-park-junk-cars-wanted/7815199601.html
The Cars of Oldsmobile and other books,$5,E. Northport,https://newyork.craigslist.org/lgi/bks/d/east-northport-the-cars-of-oldsmobile/7812247157.html
Temporary Plate,$135,brooklyn,https://newyork.craigslist.org/brk/pts/d/brooklyn-temporary-plate/7809578370.html
6 TOY CARS,$15,westchester,https://newyork.craigslist.org/wch/tag/d/hawthorne-toy-cars/7812612289.html
$$ TOP DOLLAR CASH FOR ALL CARS TRUCKS VANS SUVs AND MORE $$$,0,queens,https://newyork.craigslist.org/que/wad/d/ozone-park-top-dollar-cash-for-all-cars/7815086995.html
01’ Chevy Tahoe plow truck &other old cars BEST OFFER over,$400,New fairfield CT,https://newyork.craigslist.org/fct/pts/d/new-fairfield-01-chevy-tahoe-plow-truck/7809170968.html
WANTED: SMART CARS & PARTS,0,Fairfield county,https://newyork.craigslist.org/fct/wan/d/new-fairfield-wanted-smart-cars-parts/7809484321.html
Disney cars,$10,New York,https://newyork.craigslist.org/brx/tag/d/new-york-disney-cars/7814968821.html
Junk Cars And Truck Pick up Today,"$2,500",Staten Island,https://newyork.craigslist.org/stn/cto/d/staten-island-junk-cars-and-truck-pick/7814948258.html
TLC CARS FOR RENT 929x271x7711,$400,Brooklyn,https://newyork.craigslist.org/brk/pts/d/brooklyn-tlc-cars-for-rent-929x271x7711/7809219074.html
TLC CARS FOR RENT 929x271x7711,$400,Brooklyn,https://newyork.craigslist.org/brk/pts/d/brooklyn-tlc-cars-for-rent-929x271x7711/7809218139.html
Mobile dent repair auto body work on the spot,$199,we come to you,https://newyork.craigslist.org/que/cto/d/ozone-park-mobile-dent-repair-auto-body/7814938844.html
auto bodywork on the spot,$150,we come to you,https://newyork.craigslist.org/wch/cto/d/west-chester-auto-bodywork-on-the-spot/7814936125.html
Jabra SP700 for Cars,$20,Flushing,https://newyork.craigslist.org/que/pts/d/flushing-jabra-sp700-for-cars/7809510417.html
"mr. fix it, mobile auto body on the spot",$175,queens,https://newyork.craigslist.org/que/cto/d/valley-stream-mr-fix-it-mobile-auto/7814733146.html
WE BUY SLOT CARS,0,Brooklyn,https://newyork.craigslist.org/brk/wan/d/brooklyn-we-buy-slot-cars/7809012959.html
slot cars wanted (Tjets),0,Marine Park,https://newyork.craigslist.org/brk/wan/d/brooklyn-slot-cars-wanted-tjets/7809647250.html
WE BUY SLOT CARS,0,Brooklyn,https://newyork.craigslist.org/brk/wan/d/brooklyn-we-buy-slot-cars/7809012753.html
Matchbox/ Hot Wheels Cars/ Majorette or Small Trucks 1980's,$3,wantagh,https://newyork.craigslist.org/lgi/tag/d/matchbox-hot-wheels-cars-majorette-or/7807512957.html
"Original '70s Vintage Slot Cars Aurora AFX, Tyco, LifeLike, T-Jet",$399,Brooklyn NY,https://newyork.craigslist.org/brk/ele/d/brooklyn-original-70s-vintage-slot-cars/7807033375.html
TLC CARS  FOR RENTED,$450,Midtown,https://newyork.craigslist.org/mnh/wtd/d/sunnyside-tlc-cars-for-rented/7814206541.html
Two reproduction murray sad face pedal cars,$85,New hyde park,https://newyork.craigslist.org/lgi/clt/d/new-hyde-park-two-reproduction-murray/7806536619.html
Hemi Muscle Cars by Robert Genat,$15,Shelton,https://newyork.craigslist.org/fct/pts/d/shelton-hemi-muscle-cars-by-robert-genat/7814173412.html
GM J-Cars 1982 - 1992 Haynes Repair Manual Sunbird Skyhawk Firenza Cim,$10,Shelton,https://newyork.craigslist.org/fct/pts/d/shelton-gm-cars-haynes-repair-manual/7814171298.html
Disney Cars and Planes w Color Changers,$1,staten island,https://newyork.craigslist.org/stn/tag/d/staten-island-disney-cars-and-planes/7807343731.html
Collectable trains&cars,$400,Yonkers,https://newyork.craigslist.org/wch/clt/d/yonkers-collectable-trainscars/7814074917.html
fast fix auto body on the spot mobile,$85,we come to you same day service,https://newyork.craigslist.org/que/cto/d/ozone-park-fast-fix-auto-body-on-the/7814032318.html
"mr. fix it, auto Bodywork on the spot",$150,We come to you same day service,https://newyork.craigslist.org/brk/cto/d/brooklyn-mr-fix-it-auto-bodywork-on-the/7814030571.html
Toy cars,$12,ridgewood,https://newyork.craigslist.org/que/tag/d/brooklyn-toy-cars/7814011749.html
BLACK ZONE CAR SERVICES/ ALL CARS NEED TO BE FIX/,$100,bronx,https://newyork.craigslist.org/brx/wto/d/mount-vernon-black-zone-car-services/7813985498.html
"Instant Cash for All Types of Vehicles: Old, Used, Unwanted Cars, Truc",0,brooklyn,https://newyork.craigslist.org/brk/wan/d/brooklyn-instant-cash-for-all-types-of/7813912287.html
We Buy All Cars Cash,"$2,000",718-501-5497,https://newyork.craigslist.org/brk/cto/d/brooklyn-we-buy-all-cars-cash/7813917592.html
"Instant Cash for All Types of Vehicles: Old, Used, Unwanted Cars, Truc","$5,000",brooklyn,https://newyork.craigslist.org/brk/cto/d/brooklyn-instant-cash-for-all-types-of/7813913131.html
Disney Pixar Cars NASCAR Die-cast Car,$35,Milford,https://newyork.craigslist.org/fct/tag/d/milford-disney-pixar-cars-nascar-die/7811097870.html
"Mr. fix it, auto bodywork on the spot",$150,We come to you same day service,https://newyork.craigslist.org/brk/cto/d/brooklyn-mr-fix-it-auto-bodywork-on-the/7813528388.html
>> WE BUY CARS - INSTANT QUOTE - USED & JUNK <<,0,NYC/NJ/CT,https://newyork.craigslist.org/brx/wad/d/bronx-we-buy-cars-instant-quote-used/7813362225.html
3 Greenlight 1988 Ford Mustang 5.0 LX Foxbody Diecast cars exclusive l,$120,brooklyn,https://newyork.craigslist.org/brk/clt/d/brooklyn-greenlight-1988-ford-mustang/7813207128.html
3 Greenlight 1991 Ford Mustang 5.0 GT Foxbody Diecast cars Two-Tone ex,$120,brooklyn,https://newyork.craigslist.org/brk/clt/d/brooklyn-greenlight-1991-ford-mustang/7813206791.html
3 Greenlight 1991 Ford Mustang 5.0 GT Foxbody stripes Diecast cars exc,$120,brooklyn,https://newyork.craigslist.org/brk/clt/d/brooklyn-greenlight-1991-ford-mustang/7813206332.html
Uber Lyft TLC cars for rent,$395,Astoria,https://newyork.craigslist.org/que/cto/d/astoria-uber-lyft-tlc-cars-for-rent/7813126005.html
Uber Lyft TLC cars for rent,$395,Astoria,https://newyork.craigslist.org/que/cto/d/astoria-uber-lyft-tlc-cars-for-rent/7813123058.html
Uber Lyft TLC cars for rent,$395,Astoria,https://newyork.craigslist.org/que/cto/d/astoria-uber-lyft-tlc-cars-for-rent/7813122854.html
Vintage Model Train Set Fleischmann HO Engine and Cars In Boxes,$495,Brooklyn,https://newyork.craigslist.org/brk/clt/d/brooklyn-vintage-model-train-set/7812925999.html
Rear track bar for GM cars from 1982 to 1996,$200,bronx,https://newyork.craigslist.org/brx/pts/d/bronx-rear-track-bar-for-gm-cars-from/7805747950.html
"ScharkSpark Brushless RC Cars for Adults, Max 70 KPH LAST ONE",$85,ozone park,https://newyork.craigslist.org/que/tag/d/ozone-park-scharkspark-brushless-rc/7812805035.html
4 16 inch pilot wheels 5x114 fits many cars,$500,peekskill,https://newyork.craigslist.org/wch/wto/d/peekskill-16-inch-pilot-wheels-5x114/7810911728.html
Sell Me Your Toyota Supra 1986 to 1992 Shell / Parts Cars / Wrecked,$0,queens,https://newyork.craigslist.org/que/pts/d/south-ozone-park-sell-me-your-toyota/7812674148.html
Vintage Matchbox Cars & Aurora Postage Stamp Train Set,$0,Inwood / Wash Hts,https://newyork.craigslist.org/mnh/clt/d/new-york-vintage-matchbox-cars-aurora/7812286253.html
WE BUY CARS TODAY,"$6,000",Staten Island,https://newyork.craigslist.org/stn/cto/d/staten-island-we-buy-cars-today/7812266005.html
2013 Dodge Durango Sxt Awd 7 seater 100 plus cheap cars in stock,"$5,995",Large selection of cars at wholesale prices motorhubnj.com,https://newyork.craigslist.org/brx/ctd/d/burlington-2013-dodge-durango-sxt-awd/7812259742.html
Cars,"$4,000",S Ozone Park,https://newyork.craigslist.org/que/cto/d/ozone-park-cars/7812193999.html
2004 Gmc Envoy SLT 4x4 100 plus cheap cars and suvs in stock,"$2,395",Large selection of cars at wholesale prices motorhubnj.com,https://newyork.craigslist.org/brk/ctd/d/burlington-2004-gmc-envoy-slt-4x4-100/7812147015.html
Collectable Toy Trucks & Cars,$5,Valley Stream,https://newyork.craigslist.org/lgi/clt/d/valley-stream-collectable-toy-trucks/7804222333.html
SUV Cars For Sale (914)-490-5912,"$1,995",Yonkers,https://newyork.craigslist.org/wch/ctd/d/yonkers-suv-cars-for-sale/7812020498.html
MTH Southern Pacific Passengers cars,$25,"Woodhaven, NY",https://newyork.craigslist.org/que/art/d/woodhaven-mth-southern-pacific/7812017056.html
Sedans For Sale (914)-490-5912,"$1,995",Yonkers,https://newyork.craigslist.org/wch/ctd/d/yonkers-sedans-for-sale/7812016219.html
MTH NEW HAVEN EP-5 and Cars,$450,White Plains,https://newyork.craigslist.org/fct/tag/d/white-plains-mth-new-haven-ep-and-cars/7811824615.html
RC Cars,$40,Mount Vernon,https://newyork.craigslist.org/wch/tag/d/mount-vernon-rc-cars/7803772381.html
VINTAGE TOY CARS MATCHBOX & HOT WHEELS ...,$10,Brooklyn,https://newyork.craigslist.org/brk/tag/d/brooklyn-vintage-toy-cars-matchbox-hot/7811592622.html
Model Cars Collection,$599,Brooklyn,https://newyork.craigslist.org/brk/clt/d/brooklyn-model-cars-collection/7811552742.html
We buy all cars,"$2,000",Brooklyn,https://newyork.craigslist.org/brk/pts/d/brooklyn-we-buy-all-cars/7811386736.html
Selling off fleet of SMART  CARS,"$2,500",NEW FAIRFIELD CONNECTICUT,https://newyork.craigslist.org/fct/cto/d/new-fairfield-selling-off-fleet-of/7811345314.html
Lot of 3 Athearn HO Scale Model Train Cars with Boxes,$30,"Bridgewater, CT",https://newyork.craigslist.org/fct/atq/d/bridgewater-lot-of-athearn-ho-scale/7810899525.html
"Probe,   and cars,trucks for parts or whole",$0,Yonker,https://newyork.craigslist.org/wch/pts/d/yonkers-probe-and-carstrucks-for-parts/7803069687.html
WE BUY CARS NY WE WILL BEAT ANY OFFER YOU GOT,"$2,150",Howard Beach,https://newyork.craigslist.org/que/cto/d/howard-beach-we-buy-cars-ny-we-will/7810728507.html
"HOT WHEELS STORAGE CASE w/ 76 CARS--42 ""HOT WHEELS""--34 OTHER BRANDS",$26,Bayside,https://newyork.craigslist.org/que/tag/d/oakland-gardens-hot-wheels-storage-case/7810680502.html
WANTED: Crashed-Damaged- Cars....,$500,All Boros  All NY,https://newyork.craigslist.org/brx/pts/d/new-york-wanted-crashed-damaged-cars/7810596854.html
WANTED: Crashed-Damaged- Cars....,$500,All Boros  All NY,https://newyork.craigslist.org/brx/pts/d/new-york-wanted-crashed-damaged-cars/7810596790.html
"Lionel Great Train Robbery,Extra Engine,Cars,Fort&Lehigh Valley & P-38",$695,bronx,https://newyork.craigslist.org/brx/tag/d/bronx-lionel-great-train-robberyextra/7810563955.html
Maisto 2015 mustang gt 5.0 Coyote set 1:18 scale diecast cars 25 each,$75,brooklyn,https://newyork.craigslist.org/brk/clt/d/brooklyn-maisto-2015-mustang-gt-50/7810178522.html
We Buy Cars Today,"$6,000",Staten Island,https://newyork.craigslist.org/stn/cto/d/staten-island-we-buy-cars-today/7810124387.html
"CAR EAGLE HOOD ORNAMENT FOR CARS, OR PISTON KEY CHAIN",$5,bayside/queens,https://newyork.craigslist.org/que/pts/d/oakland-gardens-car-eagle-hood-ornament/7801773131.html
Free toy cars,$0,Upper East Side,https://newyork.craigslist.org/mnh/bab/d/new-york-free-toy-cars/7809691922.html
"Dash Cam FHD 1080P Car Camera, Front Dash Camera for Cars",$65,ozone park,https://newyork.craigslist.org/que/ele/d/ozone-park-dash-cam-fhd-1080p-car/7809531305.html
2009 Ford Crown Vic P71 Runs looks great 100 plus cheap cars in stock,"$2,500",Large selection of cars at wholesale prices motorhubnj.com,https://newyork.craigslist.org/que/ctd/d/burlington-2009-ford-crown-vic-p71-runs/7809445488.html
2002 Honda Civic Lx Runs looks great. 100 plus cars and suvs in stock,"$2,395",Large selection of cars at wholesale prices motorhubnj.com,https://newyork.craigslist.org/brk/ctd/d/burlington-2002-honda-civic-lx-runs/7809431204.html
"Lot of Assorted Vintage Mini Metal Cars, Figures, etc.",$20,Howard Beach,https://newyork.craigslist.org/que/atq/d/howard-beach-lot-of-assorted-vintage/7801462541.html
LIONEL STANDARD O GAUGE NY CENTRAL 3 CAR BOXED FREIGHT CARS,$65,FIVE TOWNS,https://newyork.craigslist.org/lgi/clt/d/cedarhurst-lionel-standard-gauge-ny/7801945272.html
2011 Hess toy trucks and race cars (2 items),$30,Chinatown / Lit Italy,https://newyork.craigslist.org/mnh/tag/d/new-york-2011-hess-toy-trucks-and-race/7809259739.html
buying all cars trucks vans paying top dollar call today cash on the spot,"$2,000",Brooklyn,https://newyork.craigslist.org/brk/cto/d/brooklyn-buying-all-cars-trucks-vans/7809047749.html
We buy cars and trucks up $3000,"$3,000",long island,https://newyork.craigslist.org/lgi/cto/d/new-hyde-park-we-buy-cars-and-trucks-up/7809047558.html
WE BUY CARS NY WE WILL BEAT ANY OFFER YOU GOT,"$2,150",Howard beach,https://newyork.craigslist.org/que/cto/d/howard-beach-we-buy-cars-ny-we-will/7808986985.html
AVIGO Plastic Double Sided Ramp Skateboard / Bike / Scooter / RC Cars,$25,Staten Island,https://newyork.craigslist.org/stn/for/d/staten-island-avigo-plastic-double/7800828374.html
"Dash Cam FHD 1080P Car Camera, Front Dash Camera for Cars",$65,ozone park,https://newyork.craigslist.org/que/ele/d/ozone-park-dash-cam-fhd-1080p-car/7804940041.html
We buy all cars trucks SUVs vans,0,All ny queens Long Island ny bk bx si,https://newyork.craigslist.org/que/wad/d/south-richmond-hill-we-buy-all-cars/7808708102.html
Hess Truck - Race Cars,$20,Yorktown Heights,https://newyork.craigslist.org/wch/tag/d/yorktown-heights-hess-truck-race-cars/7808683603.html
2015 Ford Explorer Police Package awd 100 plus cheap cars in stock,"$4,995",Large selection of cars at wholesale prices motorhubnj.com,https://newyork.craigslist.org/que/ctd/d/burlington-2015-ford-explorer-police/7808607216.html
We buy cars pay up to $2500,"$2,500",brooklyn,https://newyork.craigslist.org/que/cto/d/brooklyn-we-buy-cars-pay-up-to-2500/7808525949.html
Hotwheels toys - Batman diecast Hot Wheels toy cars,$12,Union Square,https://newyork.craigslist.org/mnh/clt/d/new-york-hotwheels-toys-batman-diecast/7800828990.html
Hotwheels toys - 10 Tokyo Olympics diecast Hot Wheels toy cars,$20,Union Square,https://newyork.craigslist.org/mnh/clt/d/new-york-hotwheels-toys-10-tokyo/7800827744.html
Trade  VERY Nice laptop for Slot cars,0,Sheepshead bay,https://newyork.craigslist.org/brk/wan/d/brooklyn-trade-very-nice-laptop-for/7800109937.html
1967/68 Mercury Cougar parts,$1,Staten Island,https://newyork.craigslist.org/brk/pts/d/staten-island-mercury-cougar-parts/7810829769.html
4 tires 225/45/18 pirelli all season Runflat,$320,Flushing Queens,https://newyork.craigslist.org/que/wto/d/flushing-tires-pirelli-all-season/7815970302.html
Graco SnugFit 35 Infant Car Seat | Baby Car Seat with Anti Rebound Bar,$75,Park Slope,https://newyork.craigslist.org/brk/bab/d/brooklyn-graco-snugfit-35-infant-car/7808636805.html
1 tires 275/35/21 Michelin Pilot Sport all season,$200,Flushing Queens,https://newyork.craigslist.org/que/wto/d/flushing-tires-michelin-pilot-sport-all/7815968892.html
"New Vintage Retro Thunder Cats - Lionel, Panther, Cheetara and He-man",$15,Upper East Side,https://newyork.craigslist.org/mnh/for/d/new-york-new-vintage-retro-thunder-cats/7815970366.html
FREE CREDIT CARD MACHINE-- FREE CASH REGISTER!!!,$0,Financial District,https://newyork.craigslist.org/mnh/bfd/d/new-york-free-credit-card-machine-free/7815968953.html
Hot Wheels Floating Bath Toys,$15,TriBeCa,https://newyork.craigslist.org/mnh/bab/d/hot-wheels-floating-bath-toys/7815967572.html
1970-72 (PARTS LOT) OLDSMOBILE CUTLASS/442/SX,$90,"North Merrick, Long Island,NY",https://newyork.craigslist.org/lgi/pts/d/merrick-parts-lot-oldsmobile-cutlass/7810062674.html
Dash Cam,$65,Brooklyn,https://newyork.craigslist.org/brk/pts/d/brooklyn-dash-cam/7815960872.html
Collectible Tins - American Bandstand - M&M and More,$10,Valley Stream,https://newyork.craigslist.org/lgi/clt/d/valley-stream-collectible-tins-american/7811005768.html
Commercial Property for Sale - by owner,"$699,000",HIGHLAND,https://newyork.craigslist.org/brk/bfs/d/poughkeepsie-commercial-property-for/7815369771.html
Commercial Property for Sale - by owner,"$699,000",HIGHLAND,https://newyork.craigslist.org/mnh/bfs/d/poughkeepsie-commercial-property-for/7815369626.html
"Volkswagen Passat 2015 miles 58,000","$7,900",New York,https://newyork.craigslist.org/lgi/cto/d/new-york-volkswagen-passat-2015-miles/7815952021.html
Ford fusion 2011,"$3,900",brooklyn,https://newyork.craigslist.org/brk/cto/d/brooklyn-ford-fusion-2011/7815951240.html
2011 BMW X3 excellent condition,"$6,000",Valley stream,https://newyork.craigslist.org/stn/cto/d/staten-island-2011-bmw-x3-excellent/7815950847.html
Yakima Frontloader Bike Rack,$75,New York,https://newyork.craigslist.org/mnh/spo/d/new-york-yakima-frontloader-bike-rack/7815935637.html
2013 Honda Civic Sdn 4dr Man Si ***Guaranteed Financing!!!,"$10,500",+ ACA Auto Sales,https://newyork.craigslist.org/lgi/ctd/d/lynbrook-2013-honda-civic-sdn-4dr-man/7815935594.html
2010 Subaru Outback 4dr Wgn H4 Auto 2.5i Premium All-Weather ***Guaranteed Finan,"$5,995",+ ACA Auto Sales,https://newyork.craigslist.org/lgi/ctd/d/lynbrook-2010-subaru-outback-4dr-wgn-h4/7815935563.html
2016 Chrysler Town  Country 4dr Wgn Touring ***Guaranteed Financing!!!,"$6,995",+ ACA Auto Sales,https://newyork.craigslist.org/lgi/ctd/d/lynbrook-2016-chrysler-town-country-4dr/7815935522.html
2010 Toyota RAV4 4WD 4dr 4-cyl 4-Spd AT ***Guaranteed Financing!!!,"$6,800",+ ACA Auto Sales,https://newyork.craigslist.org/lgi/ctd/d/lynbrook-2010-toyota-rav4-4wd-4dr-cyl/7815935489.html
2011 Jeep Grand Cherokee 4WD 4dr Laredo ***Guaranteed Financing!!!,"$5,995",+ ACA Auto Sales,https://newyork.craigslist.org/lgi/ctd/d/lynbrook-2011-jeep-grand-cherokee-4wd/7815935460.html
2011 Honda CR-V 4WD 5dr EX ***Guaranteed Financing!!!,"$8,300",+ ACA Auto Sales,https://newyork.craigslist.org/lgi/ctd/d/lynbrook-2011-honda-cr-4wd-5dr-ex/7815935429.html
2012 Acura TL 4dr Sdn Auto 2WD Tech ***Guaranteed Financing!!!,"$7,600",+ ACA Auto Sales,https://newyork.craigslist.org/lgi/ctd/d/lynbrook-2012-acura-tl-4dr-sdn-auto-2wd/7815935408.html
2013 Hyundai Tucson FWD 4dr Auto GLS ***Guaranteed Financing!!!,"$5,700",+ ACA Auto Sales,https://newyork.craigslist.org/lgi/ctd/d/lynbrook-2013-hyundai-tucson-fwd-4dr/7815935378.html
2018 Volkswagen Tiguan Limited 2.0T 4MOTION ***Guaranteed Financing!!!,"$8,400",+ ACA Auto Sales,https://newyork.craigslist.org/lgi/ctd/d/lynbrook-2018-volkswagen-tiguan-limited/7815935353.html
2014 BMW X3 AWD 4dr xDrive28i ***Guaranteed Financing!!!,"$8,400",+ ACA Auto Sales,https://newyork.craigslist.org/lgi/ctd/d/lynbrook-2014-bmw-x3-awd-4dr-xdrive28i/7815935320.html
2012 Ford E-350 E-350 Super Duty Van,"$12,450",Floral Park,https://newyork.craigslist.org/que/ctd/d/floral-park-2012-ford-350-350-super/7815934299.html
2012 Ford E-350 E-350 Super Duty Van,"$9,850",Floral Park,https://newyork.craigslist.org/que/ctd/d/floral-park-2012-ford-350-350-super/7815934269.html
2014 Ford E-350 E-350 Super Duty Van,"$9,850",Floral Park,https://newyork.craigslist.org/que/ctd/d/floral-park-2014-ford-350-350-super/7815934259.html
Brass ACF Builders Plate From NY City Subway Car American Car & Foundr,$100,Staten Island,https://newyork.craigslist.org/stn/clt/d/staten-island-brass-acf-builders-plate/7813797468.html
(5) Vintage 1988 Hot Wheels Volkswagon,$10,"Brookfield, CT",https://newyork.craigslist.org/fct/clt/d/brookfield-vintage-1988-hot-wheels/7811700959.html
Futura trailer for sale,"$15,500",Staten Island,https://newyork.craigslist.org/stn/tro/d/staten-island-futura-trailer-for-sale/7815928306.html
